arm,wd,seed,grokked,censored,t_grok,at_grok,floor,t_compress,lag
mlp,0.5,0,1,1,32250,26.835582664337814,5.147389530871893,41000,8750
mlp,0.5,1,1,0,35000,25.931466241876493,3.856961730932137,51750,16750
mlp,1,0,1,0,21500,26.87416597937077,15.58144408378781,34750,13250
mlp,1,1,1,0,19000,25.93086734997254,14.278865187229835,50000,31000
mlp,2,0,1,0,15000,28.90802287161111,20.186328623252738,27500,12500
mlp,2,1,1,0,14500,28.017617281485357,19.57386632977374,23500,9000
mlp,4,0,1,0,20250,34.64735197278693,31.41896945918658,30000,9750
mlp,4,1,1,0,18750,29.36709639888401,28.53371576023535,25000,6250
tf_lnfree,1,0,1,0,13497,15.414771491822878,10.275058476320352,20750,7253
tf_lnfree,1,1,1,0,20750,13.665177803988001,10.510171104047005,31250,10500
tf_lnfree,1.5,0,1,0,7250,15.519315504542087,10.993647290078977,11750,4500
tf_lnfree,1.5,1,1,0,13750,13.235760317756762,7.955598340692359,21500,7750
tf_lnfree,2,0,1,0,6750,17.11618249903714,11.473283623765273,47000,40250
tf_lnfree,2,1,1,0,15500,12.208018275292462,8.266204717815894,17500,2000
tf_lnfree,3,0,1,0,5000,15.494467355762538,10.614773653227596,8250,3250
tf_lnfree,3,1,1,0,5750,14.226481958469654,7.30644352567474,8000,2250
tf_ln,1,0,1,0,11500,35.467124892525284,14.798451613196093,24000,12500
tf_ln,1,1,1,0,12250,35.05266160269895,12.051494862357611,48750,36500
tf_ln,1.5,0,1,0,9750,40.680022944164804,12.389094103184572,18000,8250
tf_ln,1.5,1,1,0,9000,39.2059593115052,12.841709264958066,25250,16250
tf_ln,2,0,1,0,7000,41.01258546783045,12.255300942093438,16500,9500
tf_ln,2,1,1,0,7000,37.41263821003394,10.183801102805974,20500,13500
tf_ln,3,0,1,1,6000,38.30358466339933,9.078977197672394,23250,17250
tf_ln,3,1,1,0,5000,35.97724584693217,12.55552054780118,13497,8497
