rho,seed,T_grok,eff_grok,eff_floor,drop,T_compress,gap,rel_gap,comp_rate,censored,valid_comp
1.00,0,9000,46.2767,41.6602,4.61658,45000,36000,4,0.0001282382,0,1
1.00,1,10000,45.7957,42.5343,3.26138,32000,22000,2.2,0.00014824442,0,1
1.00,2,6000,44.7126,38.8044,5.90827,96000,90000,15,6.5647486e-05,0,1
1.00,3,10000,45.659,39.1853,6.47369,49000,39000,3.9,0.00016599205,0,1
1.00,4,20000,47.3858,45.4314,1.95438,62000,42000,2.1,4.6532949e-05,0,1
1.00,5,11000,46.643,42.5818,4.06121,53000,42000,3.81818,9.66954e-05,0,1
1.05,0,9000,47.9227,10.7682,37.1545,46000,37000,4.11111,0.0010041745,0,1
1.05,1,9000,47.3289,11.8613,35.4676,34000,25000,2.77778,0.0014187057,0,1
1.05,2,7000,46.4963,12.0709,34.4254,45000,38000,5.42857,0.00090593165,0,1
1.05,3,8000,48.0301,14.7781,33.2521,29000,21000,2.625,0.0015834318,0,1
1.05,4,13000,49.3612,11.7573,37.604,42000,29000,2.23077,0.001296689,0,1
1.05,5,13000,48.5535,10.7067,37.8468,45000,32000,2.46154,0.0011827136,0,1
1.10,0,7000,48.0845,9.19216,38.8923,33000,26000,3.71429,0.001495859,0,1
1.10,1,6000,50.5354,11.3668,39.1687,32000,26000,4.33333,0.0015064876,0,1
1.10,2,5000,48.4309,11.4693,36.9617,36000,31000,6.2,0.0011923115,0,1
1.10,3,6000,50.7086,14.1153,36.5933,26000,20000,3.33333,0.0018296668,0,1
1.10,4,8000,50.7324,10.6538,40.0786,31000,23000,2.875,0.001742548,0,1
1.10,5,9000,49.63,9.29361,40.3364,31000,22000,2.44444,0.0018334735,0,1
1.15,0,14000,38.4354,8.40459,30.0309,31000,17000,1.21429,0.0017665211,0,1
1.15,1,15000,41.0725,8.94372,32.1288,38000,23000,1.53333,0.0013969049,0,1
1.15,2,13000,40.3153,9.06067,31.2546,27000,14000,1.07692,0.0022324708,0,1
1.15,3,16000,39.709,9.42902,30.28,32000,16000,1,0.0018925014,0,1
1.15,4,14000,42.8871,10.4715,32.4156,28000,14000,1,0.0023154021,0,1
1.15,5,17000,36.364,7.89394,28.4701,29000,12000,0.705882,0.0023725051,0,1
1.20,0,16000,29.9537,7.545,22.4087,30000,14000,0.875,0.0016006242,0,1
1.20,1,19000,25.4152,9.1264,16.2888,37000,18000,0.947368,0.00090493533,0,1
1.20,2,17000,30.8126,7.4648,23.3478,29000,12000,0.705882,0.0019456532,0,1
1.20,3,20000,25.9682,7.45276,18.5154,45000,25000,1.25,0.00074061719,0,1
1.20,4,18000,27.0645,8.60881,18.4557,31000,13000,0.722222,0.0014196679,0,1
1.20,5,20000,27.7439,6.65921,21.0846,32000,12000,0.6,0.0017570538,0,1
1.25,0,17000,18.8586,6.32691,12.5317,31000,14000,0.823529,0.00089512106,0,1
1.25,1,19000,19.222,6.76408,12.4579,42000,23000,1.21053,0.0005416475,0,1
1.25,2,18000,20.7684,6.28412,14.4843,32000,14000,0.777778,0.0010345905,0,1
1.25,3,20000,20.533,6.93718,13.5959,38000,18000,0.9,0.00075532538,0,1
1.25,4,18000,21.9429,7.01266,14.9302,33000,15000,0.833333,0.00099534736,0,1
1.25,5,21000,19.1125,5.71949,13.393,33000,12000,0.571429,0.0011160867,0,1
1.30,0,17000,16.3147,5.5449,10.7698,35000,18000,1.05882,0.00059832248,0,1
1.30,1,19000,15.1207,5.82269,9.29804,39000,20000,1.05263,0.00046490183,0,1
1.30,2,18000,15.9949,5.58049,10.4144,33000,15000,0.833333,0.00069429366,0,1
1.30,3,21000,16.2704,5.98614,10.2842,43000,22000,1.04762,0.00046746589,0,1
1.30,4,18000,16.4755,6.10326,10.3722,34000,16000,0.888889,0.00064826417,0,1
1.30,5,21000,15.8571,5.00268,10.8544,35000,14000,0.666667,0.00077531554,0,1
1.35,0,18000,11.2124,4.90699,6.30544,33000,15000,0.833333,0.00042036297,0,1
1.35,1,19000,12.3899,5.14173,7.2482,43000,24000,1.26316,0.00030200841,0,1
1.35,2,18000,12.6379,5.16923,7.4687,36000,18000,1,0.00041492801,0,1
1.35,3,21000,13.1961,5.19154,8.00456,43000,22000,1.04762,0.00036384342,0,1
1.35,4,18000,13.524,4.92538,8.59863,38000,20000,1.11111,0.00042993146,0,1
1.35,5,22000,12.3016,4.52581,7.77576,36000,14000,0.636364,0.00055541115,0,1
1.40,0,17000,10.4423,4.29468,6.14763,32000,15000,0.882353,0.00040984192,0,1
1.40,1,19000,10.3471,5.29115,5.05594,36000,17000,0.894737,0.0002974081,0,1
1.40,2,18000,10.4552,4.20683,6.24836,78000,60000,3.33333,0.00010413927,0,1
1.40,3,21000,11.0803,4.80132,6.27903,42000,21000,1,0.00029900134,0,1
1.40,4,18000,10.9427,4.3657,6.57696,40000,22000,1.22222,0.00029895282,0,1
1.40,5,22000,10.0203,4.0663,5.95404,36000,14000,0.636364,0.00042528847,0,1
