rho,seed,T_grok,eff_grok,eff_floor,drop,T_compress,gap,rel_gap,comp_rate,censored,valid_comp
1.05,0,9000,48.0638,10.0014,38.0624,92000,83000,9.22222,0.00045858344,0,1
1.05,1,7000,45.9608,12.5212,33.4396,24000,17000,2.42857,0.001967033,0,1
1.05,2,18000,48.2719,13.8575,34.4145,38000,20000,1.11111,0.0017207235,0,1
1.05,3,5000,46.27,11.3401,34.9299,24000,19000,3.8,0.0018384134,0,1
1.05,4,13000,47.9737,11.2019,36.7718,70000,57000,4.38462,0.00064511956,0,1
1.05,5,11000,46.9827,13.7338,33.2489,35000,24000,2.18182,0.0013853699,0,1
1.10,0,6000,50.1467,10.7089,39.4378,34000,28000,4.66667,0.0014084938,0,1
1.10,1,6000,47.5961,10.9959,36.6003,21000,15000,2.5,0.0024400185,0,1
1.10,2,11000,47.3239,10.9993,36.3246,42000,31000,2.81818,0.0011717612,0,1
1.10,3,5000,47.8586,9.70735,38.1512,20000,15000,3,0.0025434139,0,1
1.10,4,8000,48.6405,8.71365,39.9269,51000,43000,5.375,0.00092853176,0,1
1.10,5,8000,47.9238,11.8452,36.0786,28000,20000,2.5,0.0018039321,0,1
1.15,0,14000,39.6341,6.75882,32.8753,29000,15000,1.07143,0.0021916886,0,1
1.15,1,13000,36.2232,8.33749,27.8857,27000,14000,1.07692,0.0019918337,0,1
1.15,2,17000,35.7698,9.91733,25.8524,25000,8000,0.470588,0.0032315551,0,1
1.15,3,14000,34.864,7.64229,27.2217,23000,9000,0.642857,0.0030246321,0,1
1.15,4,16000,34.2301,8.18141,26.0487,33000,17000,1.0625,0.0015322771,0,1
1.15,5,19000,31.9497,7.99556,23.9541,44000,25000,1.31579,0.00095816543,0,1
1.20,0,16000,29.3574,5.77811,23.5793,30000,14000,0.875,0.0016842346,0,1
1.20,1,15000,25.8315,7.10895,18.7226,37000,22000,1.46667,0.00085102517,0,1
1.20,2,20000,24.5375,8.22526,16.3123,28000,8000,0.4,0.0020390323,0,1
1.20,3,15000,26.9492,6.46343,20.4858,24000,9000,0.6,0.0022761971,0,1
1.20,4,17000,24.2418,6.85257,17.3892,37000,20000,1.17647,0.00086946028,0,1
1.20,5,21000,23.3892,6.86175,16.5275,42000,21000,1,0.00078702227,0,1
1.25,0,17000,18.9802,5.06166,13.9185,30000,13000,0.764706,0.0010706561,0,1
1.25,1,15000,19.8201,6.09306,13.7271,36000,21000,1.4,0.00065366972,0,1
1.25,2,20000,18.0879,6.65498,11.433,28000,8000,0.4,0.0014291189,0,1
1.25,3,15000,20.1553,6.03009,14.1252,23000,8000,0.533333,0.0017656526,0,1
1.25,4,17000,19.6042,5.80688,13.7973,35000,18000,1.05882,0.00076651825,0,1
1.25,5,21000,17.885,5.74653,12.1385,67000,46000,2.19048,0.00026387958,0,1
1.30,0,18000,14.8044,4.33682,10.4676,40000,22000,1.22222,0.00047579981,0,1
1.30,1,15000,16.9647,5.60186,11.3629,44000,29000,1.93333,0.00039182319,0,1
1.30,2,20000,14.3416,5.86046,8.48112,28000,8000,0.4,0.0010601399,0,1
1.30,3,15000,16.1301,5.05451,11.0756,24000,9000,0.6,0.0012306208,0,1
1.30,4,17000,15.7719,5.13338,10.6385,35000,18000,1.05882,0.00059103015,0,1
1.30,5,21000,14.1762,5.09869,9.07749,40000,19000,0.904762,0.00047776254,0,1
1.35,0,17000,13.1805,5.02672,8.15382,33000,16000,0.941176,0.00050961387,0,1
1.35,1,15000,13.3912,5.35775,8.03346,32000,17000,1.13333,0.00047255639,0,1
1.35,2,20000,11.9856,5.14258,6.84298,29000,9000,0.45,0.00076033094,0,1
1.35,3,16000,11.455,4.58669,6.86826,27000,11000,0.6875,0.0006243877,0,1
1.35,4,17000,13.068,4.49995,8.56807,37000,20000,1.17647,0.00042840326,0,1
1.35,5,21000,11.5509,4.29552,7.25538,55000,34000,1.61905,0.0002133934,0,1
