rho,seed,T_grok,eff_grok,eff_floor,drop,T_compress,gap,rel_gap,comp_rate,censored,valid_comp
0.85,0,718,15.5325,5.51736,10.0152,5356,4638,6.45961,0.00215937,0,1
0.85,1,739,17.8966,8.70659,9.19001,18412,17673,23.9147,0.00052000294,0,1
0.85,2,678,20.2747,8.99491,11.2798,19501,18823,27.7625,0.00059925747,0,1
0.85,3,718,19.7579,11.298,8.45986,18412,17694,24.6435,0.0004781201,0,1
0.85,4,678,19.2169,7.0796,12.1373,18949,18271,26.9484,0.0006642921,0,1
0.85,5,760,18.9919,9.52143,9.47043,18949,18189,23.9329,0.00052066816,0,1
0.85,6,853,14.4246,7.43204,6.99255,11630,10777,12.6342,0.00064884029,0,1
0.85,7,739,16.8602,7.73256,9.12767,18949,18210,24.6414,0.00050124509,0,1
0.85,8,782,15.884,8.13502,7.74899,7346,6564,8.39386,0.0011805294,0,1
0.85,9,718,18.8223,10.0056,8.81669,6936,6218,8.66017,0.0014179297,0,1
0.85,10,697,18.4959,6.68713,11.8087,14633,13936,19.9943,0.0008473552,0,1
0.85,11,697,19.1678,6.77285,12.3949,17385,16688,23.9426,0.00074274574,0,1
0.85,12,697,19.835,9.59824,10.2368,20069,19372,27.7934,0.00052843063,0,1
0.85,13,718,17.7175,8.57962,9.13792,18412,17694,24.6435,0.00051644159,0,1
0.85,14,739,18.8599,9.88557,8.97429,18949,18210,24.6414,0.00049282191,0,1
0.85,15,718,17.7452,6.79801,10.9472,13817,13099,18.2437,0.000835729,0,1
1.00,0,6608,23.9211,18.5957,5.32537,20287,13679,2.07007,0.00038931009,0,1
1.00,1,7659,23.8072,19.1388,4.66834,20895,13236,1.72816,0.00035270055,0,1
1.00,2,1913,25.8349,17.9523,7.88256,19697,17784,9.29639,0.0004432388,0,1
1.00,3,2978,25.3975,18.5209,6.87652,19124,16146,5.42176,0.00042589644,0,1
1.00,4,3352,23.8384,16.8117,7.02665,20287,16935,5.05221,0.00041491866,0,1
1.00,5,13420,20.5875,17.5617,3.02581,19697,6277,0.467735,0.0004820475,0,1
1.00,6,6608,23.1696,18.426,4.7436,19697,13089,1.98078,0.00036241125,0,1
1.00,7,7437,23.266,18.8751,4.39086,19697,12260,1.64851,0.00035814547,0,1
1.00,8,5218,23.1114,18.321,4.7904,20287,15069,2.88789,0.00031789777,0,1
1.00,9,5702,23.9609,18.5529,5.40799,19697,13995,2.4544,0.00038642311,0,1
1.00,10,13822,21.2121,18.6902,2.52187,20287,6465,0.467733,0.00039008038,0,1
1.00,11,10915,22.7099,19.8083,2.9016,19697,8782,0.804581,0.00033040352,0,1
